index,E,theta,E',x,Q2,sigma (ub),eps,W2,Gamma_v,stat,%stat_u,syst,%syst_u,rad1,%rad1_c,rad2,%rad2_c,y,y+,xq4/2/pi/a2/y+/hc2,det,sig_r
45,5.648,18.566,3.571,0.53879,2.0996,0.01994,0.86,2.678,0.0007602,0.000191,0.9578736208625878,0.000239,1.198595787362086,4.3e-05,0.2156469408224674,5.36e-05,0.2688064192577733,0.3677407932011331,1.432653665219382,12725.27794967983,0.6004575424176082,0.1523613231374599
46,5.648,18.566,3.534,0.52356,2.0773,0.02319,0.856,2.771,0.0007781,0.000211,0.9098749460974559,0.000274,1.181543768865891,5.1e-05,0.2199223803363519,6.56e-05,0.2828805519620526,0.3742917847025496,1.424041212319159,12177.50118921728,0.6355169869006929,0.1794676155503849
47,5.648,18.566,3.496,0.50887,2.0551,0.0264,0.852,2.864,0.0007946,0.000232,0.8787878787878787,0.000311,1.178030303030303,6.19e-05,0.234469696969697,8.29e-05,0.3140151515151515,0.3810198300283286,1.415325753407672,11655.53452127889,0.67285142964779,0.2070404969411241
48,5.648,22.566,2.189,0.29176,1.8935,0.01348,0.632,5.477,0.0005036,0.000172,1.275964391691395,0.000191,1.416913946587537,3.6e-05,0.2670623145400594,1.27e-05,0.09421364985163204,0.6124291784702549,1.179882239259126,6805.084824705827,3.012549799258941,0.2763488553167505
49,5.648,22.566,2.169,0.28735,1.8759,0.01356,0.628,5.533,0.0005039,0.000172,1.268436578171092,0.000193,1.42330383480826,4.59e-05,0.338495575221239,1.27e-05,0.09365781710914456,0.615970254957507,1.176866699062722,6595.065781442847,3.104837391143255,0.2776627886863041
50,5.648,22.566,2.149,0.283,1.8583,0.01372,0.623,5.588,0.0005042,0.000172,1.253644314868805,0.000196,1.428571428571429,4.58e-05,0.3338192419825073,1.27e-05,0.09256559766763849,0.6195113314447592,1.173878210000212,6390.147542316943,3.200193775200705,0.2805700265170044
51,5.648,18.566,3.146,0.394,1.8496,0.02725,0.81,3.725,0.0008894,0.000207,0.7596330275229357,0.000345,1.26605504587156,1.38e-05,0.05064220183486238,1e-05,0.03669724770642202,0.4429886685552408,1.339244102631647,7725.168309064737,1.122761597804212,0.2363534830562816
52,5.648,22.566,2.128,0.27869,1.8407,0.01394,0.619,5.644,0.0005044,0.000173,1.24103299856528,0.000199,1.427546628407461,3.59e-05,0.257532281205165,1.27e-05,0.09110473457675754,0.623229461756374,1.170795781234668,6190.448271246039,3.301450871239397,0.284898204088239
53,5.648,18.566,3.117,0.38582,1.8324,0.0287,0.806,3.797,0.0008936,0.000209,0.7282229965156795,0.000356,1.240418118466899,3.61e-05,0.1257839721254355,2.17e-05,0.07560975609756097,0.4481232294617564,1.333274438922749,7457.986405697176,1.170646553444393,0.2505701165380321
54,5.648,22.566,2.108,0.27444,1.8231,0.01363,0.615,5.7,0.0005045,0.000172,1.261922230374175,0.000196,1.438004402054292,3.58e-05,0.2626559060895085,1.27e-05,0.09317681584739546,0.626770538243626,1.167858846707143,5995.064713005273,3.403615004093027,0.2781186807908611
55,5.648,18.566,3.088,0.37783,1.8152,0.02753,0.802,3.869,0.0008972,0.000211,0.7664366146022521,0.000361,1.311296767163095,5.4e-05,0.1961496549219034,2.7e-05,0.09807482746095168,0.4532577903682719,1.327358206492817,7199.015395908492,1.22045401378127,0.2418804309853224
56,5.648,22.566,2.088,0.27023,1.8055,0.01395,0.61,5.756,0.0005046,0.000174,1.247311827956989,0.000202,1.448028673835125,4.58e-05,0.3283154121863799,1.27e-05,0.0910394265232975,0.6303116147308782,1.164945368666646,5804.152639840367,3.509466709270588,0.2841542524873745
57,5.648,18.566,3.059,0.37001,1.798,0.02779,0.798,3.942,0.0009004,0.00021,0.7556675062972293,0.000361,1.299028427491904,3.26e-05,0.1173083843109032,1.63e-05,0.0586541921554516,0.4583923512747875,1.321493333096824,6947.742234282006,1.272313972188593,0.2456555275564033
58,5.648,22.566,2.067,0.26607,1.7879,0.01386,0.606,5.812,0.0005046,0.000174,1.255411255411255,0.000201,1.45021645021645,6.32e-05,0.455988455988456,1.26e-05,0.0909090909090909,0.6340297450424929,1.16194360993756,5618.406321081481,3.621788783576884,0.2820327185944475
59,5.648,18.566,3.029,0.36238,1.7808,0.02824,0.794,4.014,0.0009032,0.000212,0.7507082152974504,0.000368,1.303116147308782,3.94e-05,0.1395184135977337,7.32e-06,0.02592067988668555,0.4637039660056657,1.315515131108797,6705.242737923419,1.327171934289023,0.2513080416761311
60,5.648,22.566,2.047,0.26196,1.7702,0.01398,0.601,5.868,0.0005046,0.000176,1.258941344778255,0.000204,1.459227467811159,6.31e-05,0.4513590844062947,1.26e-05,0.09012875536480687,0.637570821529745,1.159084289844844,5436.012824734476,3.735299946338641,0.2838658350071254
61,5.648,18.566,3.0,0.35491,1.7636,0.02825,0.79,4.086,0.0009055,0.000213,0.7539823008849558,0.00037,1.309734513274336,3.14e-05,0.1111504424778761,0.0,0.0,0.4688385269121813,1.309758550744698,6469.087296203487,1.383355096472504,0.2528105178805836
62,3.419,52.166,0.665,0.34025,1.7584,0.00286,0.282,4.29,0.0001035,8.33e-05,2.912587412587412,4.71e-05,1.646853146853147,2.06e-05,0.7202797202797202,6.52e-06,0.227972027972028,0.80549868382568,1.113000655562755,7255.275385820856,11.18394257907666,0.2320677882677689
63,5.648,22.566,2.027,0.25789,1.7526,0.01427,0.597,5.924,0.0005046,0.000178,1.247372109320252,0.000209,1.464611072179397,3.57e-05,0.2501751927119832,1.26e-05,0.08829712683952347,0.6411118980169971,1.156247332303718,5258.540349646551,3.852968501443638,0.2891243320199248
64,5.648,18.566,2.971,0.34761,1.7464,0.0286,0.786,4.158,0.0009075,0.000214,0.7482517482517482,0.000377,1.318181818181818,3.07e-05,0.1073426573426574,0.0,0.0,0.4739730878186968,1.304055981794374,6240.21149289254,1.441812021825982,0.2573202617468089
65,3.419,52.166,0.659,0.33633,1.742,0.002778,0.28,4.318,0.000104,8.23e-05,2.962562994960403,4.64e-05,1.670266378689705,2.06e-05,0.7415406767458603,0.0,0.0,0.8072535829189821,1.111613867457915,7047.316723533659,11.44218149104639,0.2240086886381015
66,5.648,22.566,2.006,0.25387,1.735,0.01449,0.592,5.98,0.0005045,0.00018,1.242236024844721,0.000213,1.469979296066253,5.37e-05,0.3706004140786749,1.26e-05,0.08695652173913043,0.6448300283286119,1.153325709638199,5085.97481751964,3.977890411585713,0.2931537171679759
67,5.648,18.566,2.941,0.34046,1.7292,0.02847,0.781,4.23,0.0009091,0.000215,0.7551808921671935,0.000378,1.327713382507903,4.51e-05,0.158412363891816,6.73e-06,0.02363891815946611,0.4792847025495751,1.298240707187114,6018.900493519345,1.503773132375791,0.2576837023595788
68,3.419,52.166,0.653,0.33243,1.7256,0.00305,0.277,4.346,0.0001045,8.53e-05,2.79672131147541,5.02e-05,1.645901639344262,2.06e-05,0.6754098360655737,0.0,0.0,0.8090084820122843,1.110234567287761,6843.551917549572,11.70818448062376,0.2443829834778604
69,5.648,22.566,1.986,0.2499,1.7174,0.0141,0.588,6.035,0.0005044,0.000179,1.269503546099291,0.000209,1.482269503546099,5.42e-05,0.3843971631205674,6.3e-06,0.04468085106382978,0.648371104815864,1.150542368929209,4917.251194774153,4.104195353245863,0.2845571690111199
70,5.648,18.566,2.912,0.33347,1.712,0.02911,0.777,4.302,0.0009104,0.000219,0.7523187907935418,0.000388,1.332875300583992,3.88e-05,0.1332875300583992,1.33e-05,0.0456887667468224,0.4844192634560907,1.292645316975057,5803.643812580523,1.567195361300596,0.2647683649925848
71,3.419,52.166,0.647,0.32854,1.7093,0.002889,0.275,4.374,0.000105,8.33e-05,2.883350640359986,4.86e-05,1.682242990654206,2.69e-05,0.9311180339217722,6.51e-06,0.22533748701973,0.8107633811055865,1.108854092239,6644.56068220133,11.98261110008098,0.2300198300461085
72,5.648,22.566,1.965,0.24597,1.6998,0.01432,0.583,6.091,0.0005042,0.000182,1.270949720670391,0.000213,1.487430167597765,4.92e-05,0.3435754189944134,1.26e-05,0.08798882681564246,0.6520892351274787,1.147674661290971,4753.076838975197,4.238500196835015,0.2884895331235784
73,5.648,18.566,2.883,0.32662,1.6948,0.02892,0.773,4.374,0.0009113,0.00022,0.7607192254495159,0.000388,1.341632088520055,3.87e-05,0.1338174273858921,6.64e-06,0.02295988934993084,0.4895538243626062,1.287101577634649,5594.775959122706,1.633288497089288,0.2642675826595512
74,3.419,52.166,0.64,0.32467,1.6929,0.003048,0.273,4.402,0.0001055,8.53e-05,2.798556430446194,5.11e-05,1.676509186351706,1.3e-05,0.426509186351706,6.51e-06,0.2135826771653543,0.8128107633811056,1.107427977601899,6449.189190417035,12.28901809431881,0.2415668096915873
75,5.648,22.566,1.945,0.24208,1.6822,0.01458,0.579,6.147,0.000504,0.000184,1.262002743484225,0.000217,1.488340192043896,6.27e-05,0.4300411522633746,1.25e-05,0.08573388203017833,0.6556303116147308,1.144941288855284,4592.47486790648,4.374519737339853,0.2929103330731964
76,5.648,18.566,2.854,0.31992,1.6776,0.02923,0.768,4.447,0.0009119,0.000221,0.756072528224427,0.000393,1.344509066028053,4.73e-05,0.1618200478959972,1.31e-05,0.04481696886760178,0.4946883852691218,1.281611847899137,5392.343504830799,1.702104525975649,0.2682826526960423
77,3.419,52.166,0.634,0.32082,1.6766,0.002947,0.271,4.43,0.000106,8.43e-05,2.860536138445877,5.04e-05,1.71021377672209,2.69e-05,0.9127926705123854,6.51e-06,0.2209026128266033,0.8145656624744078,1.106063134018441,6258.298569019668,12.58129307203181,0.2320393784005982
78,5.648,22.566,1.925,0.23824,1.6645,0.01504,0.574,6.203,0.0005037,0.000186,1.236702127659574,0.000224,1.48936170212766,4.89e-05,0.3251329787234043,1.25e-05,0.08311170212765959,0.6591713881019831,1.142236357765708,4435.495440549477,4.515468392274464,0.3012262255668151
79,5.648,18.566,2.824,0.31335,1.6604,0.02971,0.763,4.519,0.0009122,0.000224,0.7539548973409627,0.000399,1.34298216088859,5.07e-05,0.1706496129249411,1.3e-05,0.04375631100639515,0.5,1.276014911598798,5196.55150837324,1.775110878913487,0.274058561476978
80,3.419,52.166,0.628,0.31699,1.6602,0.003192,0.268,4.458,0.0001065,8.73e-05,2.734962406015037,5.37e-05,1.682330827067669,2.6e-05,0.8145363408521302,6.51e-06,0.2039473684210526,0.8163205615677098,1.1047102691468,6070.630888148925,12.88265578107716,0.2496330671543435
81,5.648,22.566,1.904,0.23443,1.6469,0.01448,0.569,6.259,0.0005034,0.000183,1.263812154696133,0.000219,1.512430939226519,5.78e-05,0.3991712707182321,6.27e-06,0.04330110497237569,0.6628895184135978,1.139446887919494,4283.210294104514,4.665636427435638,0.2893669005913585
82,3.419,52.166,0.622,0.31317,1.6439,0.003119,0.266,4.486,0.000107,8.73e-05,2.798974030137864,5.32e-05,1.705674895799936,2.68e-05,0.8592497595383136,1.3e-05,0.4168002564924655,0.818075460661012,1.103356403294282,5887.500554021603,13.19388520937654,0.2422808212108138
83,5.648,18.566,2.795,0.30693,1.6432,0.02966,0.759,4.591,0.0009123,0.000226,0.7619689817936615,0.000403,1.358732299393122,5.51e-05,0.1857720836142953,1.3e-05,0.04383007417397167,0.5051345609065155,1.270633554230329,5006.286613598374,1.849846979167883,0.2746772312529422
84,5.648,22.566,1.884,0.23067,1.6293,0.01457,0.564,6.314,0.0005031,0.000185,1.269732326698696,0.000222,1.523678792038435,5.32e-05,0.365133836650652,6.27e-06,0.04303363074811256,0.6664305949008499,1.136791252947521,4134.550919936329,4.817622709025287,0.2902155522990919
85,3.419,52.166,0.616,0.30937,1.6275,0.003269,0.264,4.514,0.0001075,8.83e-05,2.701131844600795,5.55e-05,1.697766901193025,2.91e-05,0.8901804833282349,1.3e-05,0.397675130009177,0.8198303597543141,1.102014611237616,5707.536225604558,13.51496608416408,0.2521613711795968
86,5.648,18.566,2.766,0.30063,1.6259,0.02937,0.754,4.663,0.000912,0.000226,0.7694926796050391,0.000401,1.365338781069118,5.55e-05,0.1889683350357508,1.29e-05,0.04392236976506639,0.5102691218130311,1.265304931837547,4821.038677630454,1.927811952145053,0.2729664242644586
87,5.648,14.566,4.474,0.73736,1.6244,0.06866,0.943,1.459,0.0009762,0.000733,1.067579376638509,0.000686,0.999126128750364,0.000559,0.8141567142441014,0.000728,1.060297116224876,0.2078611898016996,1.652931601772294,9034.965338896713,0.1979464544945002,0.1227942461359488
88,3.419,52.166,0.609,0.30559,1.6111,0.003344,0.261,4.541,0.000108,9.03e-05,2.700358851674641,5.67e-05,1.695574162679426,2.69e-05,0.804425837320574,1.3e-05,0.388755980861244,0.8218777420298333,1.100625423721645,5531.723076899401,13.87396711290508,0.2566417808918317
89,5.648,14.566,4.432,0.70549,1.6093,0.06288,0.941,1.552,0.001094,0.000695,1.105279898218829,0.000679,1.079834605597964,0.000408,0.6488549618320609,0.000483,0.7681297709923663,0.2152974504249291,1.640984658687098,8546.261974179995,0.2163207328975443,0.1162483721502542
90,5.648,18.566,2.737,0.29446,1.6087,0.02977,0.749,4.735,0.0009115,0.000227,0.7625125965737319,0.000409,1.373866308364125,5.44e-05,0.1827342962714142,1.92e-05,0.06449445750755795,0.5154036827195467,1.260028236737007,4642.073273218696,2.009075626362036,0.2776432445284371
91,3.419,52.166,0.603,0.30182,1.5948,0.003434,0.259,4.569,0.0001085,9.13e-05,2.658707047175306,5.83e-05,1.697728596389051,2.91e-05,0.8474082702387885,1.3e-05,0.378567268491555,0.8236326411231354,1.099291030814938,5359.985585405884,14.21733168478945,0.2616869153959556
92,5.648,14.566,4.391,0.67573,1.5942,0.04805,0.939,1.645,0.001203,0.000584,1.215400624349636,0.000578,1.202913631633715,0.000238,0.4953173777315296,0.000181,0.3766909469302809,0.222556657223796,1.629382511867707,8090.05728612352,0.2356426102042906,0.09160070445979074
93,5.648,18.566,2.707,0.28841,1.5915,0.03067,0.744,4.807,0.0009108,0.00023,0.7499184871209651,0.000423,1.379197913270297,6.82e-05,0.2223671340071732,2.57e-05,0.08379523964786437,0.5207152974504249,1.254651177863608,4469.062613359928,2.095326177781299,0.287198292919727
